Code,Borough,Neighborhood,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre,address,Latitude,Longitude
E05000191,Ealing,Southfield,2020,13842,143.5,1.435,96.45993031,9645.993031,"Southfield, Ealing, England",51.5026357,-0.2589303
E05000624,Wandsworth,Southfields,2020,17962,152.2,1.5219999999999998,118.0157687,11801.57687,"Southfields, Wandsworth, England",51.4457751,-0.2066142
E05000208,Enfield,Southgate,2020,16246,269.1,2.6910000000000003,60.37160907,6037.160907,"Southgate, Enfield, England",51.6281547,-0.123596
E05000209,Enfield,Southgate Green,2020,15862,261.7,2.617,60.61138708,6061.1387079999995,"Southgate Green, Enfield, England",51.6281547,-0.123596
E05000587,Tower Hamlets,Spitalfields and Banglatown,2020,11937,63.8,0.638,187.1003135,18710.03135,"Spitalfields and Banglatown, Tower Hamlets, England",0.0,0.0
E05000246,Hackney,Springfield,2020,13699,95.2,0.9520000000000001,143.89705880000002,14389.705880000001,"Springfield, Hackney, England",51.5683986,-0.0565668
E05000322,Havering,Squirrel's Heath,2020,14366,264.6,2.6460000000000004,54.29327286,5429.327286,"Squirrel's Heath, Havering, England",51.5882898,0.2289596
E05000320,Havering,St Andrew's,2020,13986,268.7,2.687,52.05061407,5205.061407,"St Andrew's, Havering, England",51.55792615,0.24981280474568598
E05000277,Haringey,St Ann's,2020,16173,109.7,1.097,147.4293528,14742.935280000002,"St Ann's, Haringey, England",51.58126395,-0.08444370000000001
E05000398,Kensington and Chelsea,St Charles,2020,9019,70.9,0.7090000000000001,127.20733429999999,12720.73343,"St Charles, Kensington and Chelsea, England",51.4989948,-0.1991229
E05000584,Tower Hamlets,St Dunstan's and Stepney Green,2020,19169,101.8,1.018,188.3005894,18830.05894,"St Dunstan's and Stepney Green, Tower Hamlets, England",0.0,0.0
E05000378,Islington,St George's,2020,13967,84.6,0.846,165.0945626,16509.45626,"St George's, Islington, England",51.5566799,-0.1302812
E05000470,Merton,St Helier,2020,11273,184.2,1.8419999999999999,61.19978284,6119.978284000001,"St Helier, Merton, England",51.3894612,-0.1989208
E05000562,Sutton,St Helier,2020,12382,150.0,1.5,82.54666667,8254.666667,"St Helier, Sutton, England",51.3866947,-0.1800574
E05000411,Kingston upon Thames,St James,2020,9786,216.7,2.167,45.15920628,4515.920628,"St James, Kingston upon Thames, England",51.3932066,-0.3046482
E05000644,Westminster,St James's,2020,15316,346.8,3.468,44.16378316,4416.378315999999,"St James's, Westminster, England",51.5079082,-0.1365727
E05000585,Tower Hamlets,St Katharine's and Wapping,2020,15693,150.6,1.506,104.2031873,10420.318729999999,"St Katharine's and Wapping, Tower Hamlets, England",0.0,0.0
E05000428,Lambeth,St Leonard's,2020,16463,144.9,1.449,113.61628710000001,11361.628709999999,"St Leonard's, Lambeth, England",51.42912525,-0.1325481505317565
E05000527,Richmond upon Thames,St Margarets and North Twickenha,2020,12896,200.6,2.006,64.28713858,6428.713858,"St Margarets and North Twickenha, Richmond upon Thames, England",0.0,0.0
E05000412,Kingston upon Thames,St Mark's,2020,12508,137.6,1.376,90.90116279,9090.116279,"St Mark's, Kingston upon Thames, England",51.4096275,-0.3062621
E05000081,Bexley,St Mary's,2020,11752,442.9,4.428999999999999,26.53420637,2653.420637,"St Mary's, Bexley, England",51.4416793,0.150488
E05000379,Islington,St Mary's,2020,13647,86.9,0.8690000000000001,157.04257769999998,15704.257769999998,"St Mary's, Islington, England",51.5384287,-0.0999051
E05000622,Wandsworth,St Mary's Park,2020,19737,139.6,1.396,141.3825215,14138.25215,"St Mary's Park, Wandsworth, England",0.0,0.0
E05000082,Bexley,St Michael's,2020,11600,144.4,1.444,80.33240997,8033.240997,"St Michael's, Bexley, England",51.471966,0.112714
E05000143,Camden,St Pancras and Somers Town,2020,19246,140.0,1.4,137.4714286,13747.14286,"St Pancras and Somers Town, Camden, England",0.0,0.0
E05000380,Islington,St Peter's,2020,15634,81.0,0.81,193.0123457,19301.23457,"St Peter's, Islington, England",51.5332103,-0.0971989
E05000399,Kensington and Chelsea,Stanley,2020,7981,66.3,0.6629999999999999,120.3770739,12037.707390000001,"Stanley, Kensington and Chelsea, England",51.5121457,-0.2042205
E05000303,Harrow,Stanmore Park,2020,12354,445.6,4.456,27.72441652,2772.441652,"Stanmore Park, Harrow, England",51.6188526,-0.3026271
E05000429,Lambeth,Stockwell,2020,16075,86.9,0.8690000000000001,184.9827388,18498.27388,"Stockwell, Lambeth, England",51.472211,-0.1225014
E05000247,Hackney,Stoke Newington Central,2020,13408,71.2,0.7120000000000001,188.31460669999998,18831.46067,"Stoke Newington Central, Hackney, England",51.5576971,-0.0772816
E05000100,Brent,Stonebridge,2020,19932,405.5,4.055,49.1541307,4915.4130700000005,"Stonebridge, Brent, England",51.5441099,-0.2762285
E05000563,Sutton,Stonecot,2020,11173,198.1,1.9809999999999999,56.40080767,5640.080767,"Stonecot, Sutton, England",51.383526,-0.2142263
E05000492,Newham,Stratford and New Town,2020,35395,423.7,4.237,83.53788058,8353.788058,"Stratford and New Town, Newham, England",51.5506778,0.0029768
E05000430,Lambeth,Streatham Hill,2020,16293,127.3,1.273,127.9890024,12798.90024,"Streatham Hill, Lambeth, England",51.4407385,-0.1223171
E05000431,Lambeth,Streatham South,2020,14802,169.8,1.6980000000000002,87.17314488,8717.314488,"Streatham South, Lambeth, England",51.429769,-0.1311105
E05000432,Lambeth,Streatham Wells,2020,17215,145.1,1.4509999999999998,118.64231559999999,11864.23156,"Streatham Wells, Lambeth, England",51.440114050000005,-0.11621515398864968
E05000279,Haringey,Stroud Green,2020,12819,109.5,1.095,117.0684932,11706.849320000001,"Stroud Green, Haringey, England",51.5716864,-0.1114972
E05000101,Brent,Sudbury,2020,16433,213.0,2.13,77.15023474,7715.023474,"Sudbury, Brent, England",51.550751,-0.3156202
E05000413,Kingston upon Thames,Surbiton Hill,2020,11670,166.4,1.6640000000000001,70.13221154,7013.221154000001,"Surbiton Hill, Kingston upon Thames, England",51.3924111,-0.3039992
E05000552,Southwark,Surrey Docks,2020,16839,190.1,1.901,88.5796949,8857.969490000001,"Surrey Docks, Southwark, England",51.49307865,-0.04639640518134707
